firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Millard,Fillmore,35,27,0,6,366,2010-04-14,Montgomery Music,45,Shreveport Seamen,10
Millard,Fillmore,23,16,0,4,246,2010-04-21,Montgomery Music,51,San Bernardino Stalkers,21
James,Madison,8,6,0,2,94,2010-04-21,Montgomery Music,51,San Bernardino Stalkers,21
Millard,Fillmore,38,26,0,5,353,2010-04-28,Montgomery Music,47,Tacoma Touchdown-Scorers,37
Millard,Fillmore,37,31,0,7,480,2010-05-05,Montgomery Music,54,Glendale Centers,20
Millard,Fillmore,36,24,0,5,361,2010-05-12,Montgomery Music,44,Des Moines Desperadoes,35
Millard,Fillmore,34,24,0,4,355,2010-05-19,Montgomery Music,29,Augusta Autocrats,20
James,Madison,2,1,0,0,14,2010-05-19,Montgomery Music,29,Augusta Autocrats,20
Millard,Fillmore,22,18,0,3,251,2010-05-26,Montgomery Music,24,Grand Rapids Gamers,10
James,Madison,7,5,0,0,71,2010-05-26,Montgomery Music,24,Grand Rapids Gamers,10
Millard,Fillmore,20,15,0,3,242,2010-06-02,Montgomery Music,29,Huntington Beach Harriers,17
James,Madison,8,5,0,0,73,2010-06-02,Montgomery Music,29,Huntington Beach Harriers,17
Millard,Fillmore,39,26,0,6,490,2010-06-09,Montgomery Music,47,Mobile Misfits,14
Millard,Fillmore,33,24,0,6,415,2010-06-16,Montgomery Music,42,Boise Bearcats,14
Millard,Fillmore,34,28,0,5,382,2010-06-23,Montgomery Music,36,Modesto Misanthropes,7
Millard,Fillmore,27,23,0,5,317,2010-06-30,Montgomery Music,45,Fremont Firebugs,23
Gerry,Ford,35,16,1,0,121,2010-03-24,Spokane Stallions,8,Richmond Roustabouts,16
Gerry,Ford,28,14,1,1,111,2010-03-31,Spokane Stallions,11,Yonkers Yellowjackets,14
Gerry,Ford,36,11,1,1,92,2010-04-07,Spokane Stallions,7,Shreveport Seamen,9
Gerry,Ford,30,13,1,0,82,2010-04-14,Spokane Stallions,0,San Bernardino Stalkers,16
Gerry,Ford,23,10,1,1,73,2010-04-21,Spokane Stallions,15,Tacoma Touchdown-Scorers,27
Bill,Clinton,10,4,0,0,32,2010-04-21,Spokane Stallions,15,Tacoma Touchdown-Scorers,27
Gerry,Ford,21,6,1,0,52,2010-04-28,Spokane Stallions,12,Glendale Centers,44
Bill,Clinton,9,4,0,0,32,2010-04-28,Spokane Stallions,12,Glendale Centers,44
Gerry,Ford,28,8,1,0,69,2010-05-05,Spokane Stallions,6,Des Moines Desperadoes,0
Bill,Clinton,2,0,0,0,0,2010-05-05,Spokane Stallions,6,Des Moines Desperadoes,0
Gerry,Ford,30,9,1,1,63,2010-05-12,Spokane Stallions,23,Augusta Autocrats,27
Bill,Clinton,5,2,0,1,20,2010-05-12,Spokane Stallions,23,Augusta Autocrats,27
Gerry,Ford,33,10,1,1,84,2010-05-19,Spokane Stallions,14,Grand Rapids Gamers,16
Gerry,Ford,38,14,1,1,91,2010-05-26,Spokane Stallions,19,Huntington Beach Harriers,13
Gerry,Ford,20,7,1,1,58,2010-06-02,Spokane Stallions,17,Mobile Misfits,0
Bill,Clinton,5,1,0,1,10,2010-06-02,Spokane Stallions,17,Mobile Misfits,0
Gerry,Ford,22,9,1,1,75,2010-06-09,Spokane Stallions,9,Boise Bearcats,27
Bill,Clinton,2,0,0,0,0,2010-06-09,Spokane Stallions,9,Boise Bearcats,27
Gerry,Ford,18,8,1,0,69,2010-06-16,Spokane Stallions,13,Modesto Misanthropes,23
Bill,Clinton,6,3,0,1,26,2010-06-16,Spokane Stallions,13,Modesto Misanthropes,23
Gerry,Ford,28,14,1,1,96,2010-06-23,Spokane Stallions,19,Fremont Firebugs,0
Gerry,Ford,31,14,1,1,91,2010-06-30,Spokane Stallions,12,Montgomery Music,13
Bill,Clinton,7,2,0,0,15,2010-06-30,Spokane Stallions,12,Montgomery Music,13
Abe,Lincoln,37,30,0,5,421,2010-03-24,Richmond Roustabouts,44,Yonkers Yellowjackets,30
Abe,Lincoln,29,23,0,5,322,2010-03-31,Richmond Roustabouts,39,Shreveport Seamen,35
Abe,Lincoln,36,26,0,6,502,2010-04-07,Richmond Roustabouts,43,San Bernardino Stalkers,31
Abe,Lincoln,38,30,0,6,420,2010-04-14,Richmond Roustabouts,42,Tacoma Touchdown-Scorers,9
Abe,Lincoln,29,24,0,6,407,2010-04-21,Richmond Roustabouts,52,Glendale Centers,37
Abe,Lincoln,33,23,0,5,426,2010-04-28,Richmond Roustabouts,40,Des Moines Desperadoes,13
Abe,Lincoln,25,21,0,4,313,2010-05-05,Richmond Roustabouts,30,Augusta Autocrats,31
Abe,Lincoln,25,20,0,4,316,2010-05-12,Richmond Roustabouts,31,Grand Rapids Gamers,9
Abe,Lincoln,36,27,0,7,460,2010-05-19,Richmond Roustabouts,52,Huntington Beach Harriers,7
Abe,Lincoln,31,26,0,7,485,2010-05-26,Richmond Roustabouts,58,Mobile Misfits,34
Abe,Lincoln,33,25,0,7,436,2010-06-02,Richmond Roustabouts,49,Boise Bearcats,7
Abe,Lincoln,27,23,0,4,324,2010-06-09,Richmond Roustabouts,29,Modesto Misanthropes,38
Abe,Lincoln,34,24,0,5,336,2010-06-16,Richmond Roustabouts,35,Fremont Firebugs,0
Abe,Lincoln,33,26,0,5,380,2010-06-23,Richmond Roustabouts,47,Montgomery Music,13
Abe,Lincoln,20,16,0,4,248,2010-06-30,Richmond Roustabouts,33,Spokane Stallions,30
Jim,Buchanan,6,4,0,0,49,2010-06-30,Richmond Roustabouts,33,Spokane Stallions,30
Andrew,Johnson,31,22,0,4,287,2010-03-24,Yonkers Yellowjackets,37,Shreveport Seamen,3
Andrew,Johnson,31,22,0,4,331,2010-03-31,Yonkers Yellowjackets,28,San Bernardino Stalkers,37
Andrew,Johnson,21,14,0,3,174,2010-04-07,Yonkers Yellowjackets,32,Tacoma Touchdown-Scorers,23
Lyndon,Johnson,13,10,0,1,135,2010-04-07,Yonkers Yellowjackets,32,Tacoma Touchdown-Scorers,23
Andrew,Johnson,26,17,0,3,251,2010-04-14,Yonkers Yellowjackets,21,Glendale Centers,20
Andrew,Johnson,27,16,0,3,279,2010-04-21,Yonkers Yellowjackets,33,Des Moines Desperadoes,41
Andrew,Johnson,32,20,0,3,271,2010-04-28,Yonkers Yellowjackets,26,Augusta Autocrats,44
Lyndon,Johnson,2,1,0,0,15,2010-04-28,Yonkers Yellowjackets,26,Augusta Autocrats,44
Andrew,Johnson,34,22,0,4,332,2010-05-05,Yonkers Yellowjackets,35,Grand Rapids Gamers,37
Andrew,Johnson,28,17,0,4,271,2010-05-12,Yonkers Yellowjackets,31,Huntington Beach Harriers,34
Andrew,Johnson,27,17,0,2,209,2010-05-19,Yonkers Yellowjackets,25,Mobile Misfits,13
Andrew,Johnson,24,16,0,3,210,2010-05-26,Yonkers Yellowjackets,30,Boise Bearcats,20
Lyndon,Johnson,13,9,0,1,138,2010-05-26,Yonkers Yellowjackets,30,Boise Bearcats,20
Andrew,Johnson,24,17,0,4,257,2010-06-02,Yonkers Yellowjackets,49,Modesto Misanthropes,16
Lyndon,Johnson,7,4,0,2,75,2010-06-02,Yonkers Yellowjackets,49,Modesto Misanthropes,16
Andrew,Johnson,15,11,0,2,136,2010-06-09,Yonkers Yellowjackets,27,Fremont Firebugs,28
Lyndon,Johnson,10,7,0,1,106,2010-06-09,Yonkers Yellowjackets,27,Fremont Firebugs,28
Andrew,Johnson,38,23,0,4,332,2010-06-16,Yonkers Yellowjackets,30,Montgomery Music,13
Andrew,Johnson,20,14,0,3,221,2010-06-23,Yonkers Yellowjackets,40,Spokane Stallions,27
Lyndon,Johnson,10,8,0,2,147,2010-06-23,Yonkers Yellowjackets,40,Spokane Stallions,27
Andrew,Johnson,33,25,0,5,415,2010-06-30,Yonkers Yellowjackets,38,Richmond Roustabouts,24
Cal,Coolidge,24,6,1,0,34,2010-03-24,Shreveport Seamen,10,San Bernardino Stalkers,7
John,Tyler,3,1,1,1,7,2010-03-24,Shreveport Seamen,10,San Bernardino Stalkers,7
Cal,Coolidge,31,11,1,1,63,2010-03-31,Shreveport Seamen,8,Tacoma Touchdown-Scorers,13
Cal,Coolidge,20,7,1,1,49,2010-04-07,Shreveport Seamen,14,Glendale Centers,13
John,Tyler,12,3,1,1,20,2010-04-07,Shreveport Seamen,14,Glendale Centers,13
Cal,Coolidge,19,7,1,1,49,2010-04-14,Shreveport Seamen,16,Des Moines Desperadoes,0
John,Tyler,12,3,1,0,20,2010-04-14,Shreveport Seamen,16,Des Moines Desperadoes,0
Cal,Coolidge,17,6,1,1,38,2010-04-21,Shreveport Seamen,22,Augusta Autocrats,7
John,Tyler,11,4,1,1,24,2010-04-21,Shreveport Seamen,22,Augusta Autocrats,7
Cal,Coolidge,26,10,1,0,59,2010-04-28,Shreveport Seamen,11,Grand Rapids Gamers,13
John,Tyler,3,1,1,1,5,2010-04-28,Shreveport Seamen,11,Grand Rapids Gamers,13
Cal,Coolidge,33,8,1,1,55,2010-05-05,Shreveport Seamen,25,Huntington Beach Harriers,14
John,Tyler,4,1,1,1,5,2010-05-05,Shreveport Seamen,25,Huntington Beach Harriers,14
Cal,Coolidge,28,11,1,1,73,2010-05-12,Shreveport Seamen,9,Mobile Misfits,9
Cal,Coolidge,29,8,1,1,51,2010-05-19,Shreveport Seamen,19,Boise Bearcats,13
John,Tyler,4,1,1,0,5,2010-05-19,Shreveport Seamen,19,Boise Bearcats,13
Cal,Coolidge,21,6,1,1,30,2010-05-26,Shreveport Seamen,18,Modesto Misanthropes,10
John,Tyler,11,3,1,0,18,2010-05-26,Shreveport Seamen,18,Modesto Misanthropes,10
Cal,Coolidge,27,11,1,1,67,2010-06-02,Shreveport Seamen,15,Fremont Firebugs,44
Cal,Coolidge,29,10,1,0,51,2010-06-09,Shreveport Seamen,3,Montgomery Music,24
Cal,Coolidge,38,12,1,0,83,2010-06-16,Shreveport Seamen,12,Spokane Stallions,38
Cal,Coolidge,17,5,1,1,30,2010-06-23,Shreveport Seamen,16,Richmond Roustabouts,31
John,Tyler,9,3,1,1,21,2010-06-23,Shreveport Seamen,16,Richmond Roustabouts,31
Cal,Coolidge,16,6,1,0,32,2010-06-30,Shreveport Seamen,7,Yonkers Yellowjackets,30
John,Tyler,9,2,1,0,12,2010-06-30,Shreveport Seamen,7,Yonkers Yellowjackets,30
Franklin,Roosevelt,33,26,0,5,402,2010-03-24,San Bernardino Stalkers,43,Tacoma Touchdown-Scorers,7
Franklin,Roosevelt,34,27,0,6,433,2010-03-31,San Bernardino Stalkers,42,Glendale Centers,27
Franklin,Roosevelt,23,19,0,4,293,2010-04-07,San Bernardino Stalkers,35,Des Moines Desperadoes,10
William,McKinley,1,0,1,0,0,2010-04-07,San Bernardino Stalkers,35,Des Moines Desperadoes,10
Franklin,Roosevelt,22,16,0,3,252,2010-04-14,San Bernardino Stalkers,30,Augusta Autocrats,41
William,McKinley,12,3,1,1,17,2010-04-14,San Bernardino Stalkers,30,Augusta Autocrats,41
Franklin,Roosevelt,32,25,0,6,386,2010-04-21,San Bernardino Stalkers,58,Grand Rapids Gamers,24
William,McKinley,3,1,1,1,6,2010-04-21,San Bernardino Stalkers,58,Grand Rapids Gamers,24
Franklin,Roosevelt,35,27,0,6,392,2010-04-28,San Bernardino Stalkers,49,Huntington Beach Harriers,44
Franklin,Roosevelt,33,28,0,6,437,2010-05-05,San Bernardino Stalkers,47,Mobile Misfits,16
William,McKinley,2,0,1,0,0,2010-05-05,San Bernardino Stalkers,47,Mobile Misfits,16
Franklin,Roosevelt,28,19,0,4,280,2010-05-12,San Bernardino Stalkers,35,Boise Bearcats,24
Franklin,Roosevelt,31,23,0,5,331,2010-05-19,San Bernardino Stalkers,37,Modesto Misanthropes,10
Franklin,Roosevelt,23,16,0,3,233,2010-05-26,San Bernardino Stalkers,21,Fremont Firebugs,21
William,McKinley,5,2,1,0,11,2010-05-26,San Bernardino Stalkers,21,Fremont Firebugs,21
Franklin,Roosevelt,32,27,0,6,499,2010-06-02,San Bernardino Stalkers,52,Montgomery Music,21
William,McKinley,3,0,1,0,0,2010-06-02,San Bernardino Stalkers,52,Montgomery Music,21
Franklin,Roosevelt,35,27,0,6,472,2010-06-09,San Bernardino Stalkers,52,Spokane Stallions,38
Franklin,Roosevelt,25,20,0,5,289,2010-06-16,San Bernardino Stalkers,37,Richmond Roustabouts,27
William,McKinley,4,1,1,0,5,2010-06-16,San Bernardino Stalkers,37,Richmond Roustabouts,27
Franklin,Roosevelt,34,23,0,5,391,2010-06-23,San Bernardino Stalkers,42,Yonkers Yellowjackets,3
Franklin,Roosevelt,33,28,0,7,523,2010-06-30,San Bernardino Stalkers,57,Shreveport Seamen,0
Tom,Jefferson,37,20,0,2,187,2010-03-24,Tacoma Touchdown-Scorers,20,Glendale Centers,30
Tom,Jefferson,29,14,0,2,148,2010-03-31,Tacoma Touchdown-Scorers,26,Des Moines Desperadoes,0
Harry,Truman,2,0,1,0,0,2010-03-31,Tacoma Touchdown-Scorers,26,Des Moines Desperadoes,0
Tom,Jefferson,31,18,0,1,158,2010-04-07,Tacoma Touchdown-Scorers,17,Augusta Autocrats,41
Tom,Jefferson,35,20,0,2,204,2010-04-14,Tacoma Touchdown-Scorers,14,Grand Rapids Gamers,20
Tom,Jefferson,31,15,0,1,119,2010-04-21,Tacoma Touchdown-Scorers,11,Huntington Beach Harriers,44
Tom,Jefferson,28,15,0,0,124,2010-04-28,Tacoma Touchdown-Scorers,12,Mobile Misfits,35
Tom,Jefferson,37,18,0,2,148,2010-05-05,Tacoma Touchdown-Scorers,16,Boise Bearcats,35
Tom,Jefferson,31,18,0,2,178,2010-05-12,Tacoma Touchdown-Scorers,19,Modesto Misanthropes,38
Tom,Jefferson,23,11,0,1,105,2010-05-19,Tacoma Touchdown-Scorers,13,Fremont Firebugs,30
Harry,Truman,13,3,1,0,21,2010-05-19,Tacoma Touchdown-Scorers,13,Fremont Firebugs,30
Tom,Jefferson,29,14,0,1,129,2010-05-26,Tacoma Touchdown-Scorers,13,Montgomery Music,24
Tom,Jefferson,37,15,0,1,156,2010-06-02,Tacoma Touchdown-Scorers,8,Spokane Stallions,6
Tom,Jefferson,34,17,0,1,178,2010-06-09,Tacoma Touchdown-Scorers,9,Richmond Roustabouts,7
Harry,Truman,4,1,1,0,5,2010-06-09,Tacoma Touchdown-Scorers,9,Richmond Roustabouts,7
Tom,Jefferson,29,14,0,2,126,2010-06-16,Tacoma Touchdown-Scorers,27,Yonkers Yellowjackets,27
Harry,Truman,7,1,1,1,5,2010-06-16,Tacoma Touchdown-Scorers,27,Yonkers Yellowjackets,27
Tom,Jefferson,35,15,0,2,135,2010-06-23,Tacoma Touchdown-Scorers,24,Shreveport Seamen,28
Tom,Jefferson,39,20,0,1,166,2010-06-30,Tacoma Touchdown-Scorers,8,San Bernardino Stalkers,23
Zach,Taylor,38,10,1,0,54,2010-03-24,Glendale Centers,1,Des Moines Desperadoes,14
Zach,Taylor,27,9,1,1,49,2010-03-31,Glendale Centers,10,Augusta Autocrats,23
Zach,Taylor,28,9,1,0,64,2010-04-07,Glendale Centers,1,Grand Rapids Gamers,6
Zach,Taylor,29,7,1,1,39,2010-04-14,Glendale Centers,11,Huntington Beach Harriers,34
Zach,Taylor,31,11,1,1,70,2010-04-21,Glendale Centers,8,Mobile Misfits,34
Zach,Taylor,27,7,1,0,36,2010-04-28,Glendale Centers,0,Boise Bearcats,37
Zach,Taylor,19,8,1,0,42,2010-05-05,Glendale Centers,0,Modesto Misanthropes,35
Big Bill,Taft,9,3,1,0,13,2010-05-05,Glendale Centers,0,Modesto Misanthropes,35
Zach,Taylor,31,8,1,1,46,2010-05-12,Glendale Centers,17,Fremont Firebugs,3
Big Bill,Taft,3,1,1,0,5,2010-05-12,Glendale Centers,17,Fremont Firebugs,3
Zach,Taylor,22,7,1,1,46,2010-05-19,Glendale Centers,15,Montgomery Music,37
Big Bill,Taft,14,2,1,0,7,2010-05-19,Glendale Centers,15,Montgomery Music,37
Zach,Taylor,20,6,1,1,43,2010-05-26,Glendale Centers,26,Spokane Stallions,41
Big Bill,Taft,7,1,1,1,4,2010-05-26,Glendale Centers,26,Spokane Stallions,41
Zach,Taylor,32,13,1,0,89,2010-06-02,Glendale Centers,8,Richmond Roustabouts,9
Zach,Taylor,30,9,1,0,50,2010-06-09,Glendale Centers,0,Yonkers Yellowjackets,38
Zach,Taylor,19,5,1,1,35,2010-06-16,Glendale Centers,23,Shreveport Seamen,24
Big Bill,Taft,11,3,1,1,15,2010-06-16,Glendale Centers,23,Shreveport Seamen,24
Zach,Taylor,19,7,1,0,36,2010-06-23,Glendale Centers,7,San Bernardino Stalkers,0
Big Bill,Taft,7,1,1,1,4,2010-06-23,Glendale Centers,7,San Bernardino Stalkers,0
Zach,Taylor,22,6,1,1,42,2010-06-30,Glendale Centers,17,Tacoma Touchdown-Scorers,16
Big Bill,Taft,4,0,1,0,0,2010-06-30,Glendale Centers,17,Tacoma Touchdown-Scorers,16
Chet,Arthur,27,10,0,0,76,2010-03-24,Des Moines Desperadoes,9,Augusta Autocrats,21
Andy,Jackson,10,7,0,0,82,2010-03-24,Des Moines Desperadoes,9,Augusta Autocrats,21
Chet,Arthur,31,12,0,0,112,2010-03-31,Des Moines Desperadoes,11,Grand Rapids Gamers,30
Andy,Jackson,2,1,0,0,12,2010-03-31,Des Moines Desperadoes,11,Grand Rapids Gamers,30
Chet,Arthur,25,11,0,0,81,2010-04-07,Des Moines Desperadoes,9,Huntington Beach Harriers,10
Andy,Jackson,9,5,0,0,62,2010-04-07,Des Moines Desperadoes,9,Huntington Beach Harriers,10
Chet,Arthur,32,13,0,0,122,2010-04-14,Des Moines Desperadoes,17,Mobile Misfits,6
Andy,Jackson,5,3,0,1,34,2010-04-14,Des Moines Desperadoes,17,Mobile Misfits,6
Chet,Arthur,28,11,0,1,82,2010-04-21,Des Moines Desperadoes,18,Boise Bearcats,3
Chet,Arthur,34,17,0,2,150,2010-04-28,Des Moines Desperadoes,25,Modesto Misanthropes,28
Chet,Arthur,34,16,0,2,157,2010-05-05,Des Moines Desperadoes,22,Fremont Firebugs,7
Chet,Arthur,31,13,0,0,118,2010-05-12,Des Moines Desperadoes,3,Montgomery Music,41
Chet,Arthur,29,10,0,0,76,2010-05-19,Des Moines Desperadoes,5,Spokane Stallions,44
Chet,Arthur,17,9,0,0,66,2010-05-26,Des Moines Desperadoes,13,Richmond Roustabouts,14
Andy,Jackson,8,5,0,1,75,2010-05-26,Des Moines Desperadoes,13,Richmond Roustabouts,14
Chet,Arthur,32,17,0,2,158,2010-06-02,Des Moines Desperadoes,19,Yonkers Yellowjackets,41
Chet,Arthur,28,14,0,2,136,2010-06-09,Des Moines Desperadoes,21,Shreveport Seamen,0
Chet,Arthur,21,8,0,0,77,2010-06-16,Des Moines Desperadoes,11,San Bernardino Stalkers,35
Andy,Jackson,3,1,0,0,12,2010-06-16,Des Moines Desperadoes,11,San Bernardino Stalkers,35
Chet,Arthur,31,13,0,0,97,2010-06-23,Des Moines Desperadoes,1,Tacoma Touchdown-Scorers,16
Chet,Arthur,28,12,0,1,101,2010-06-30,Des Moines Desperadoes,10,Glendale Centers,10
Andy,Jackson,7,3,0,0,36,2010-06-30,Des Moines Desperadoes,10,Glendale Centers,10
James,Polk,30,7,1,1,37,2010-03-24,Augusta Autocrats,10,Grand Rapids Gamers,10
James,Polk,33,10,1,1,52,2010-03-31,Augusta Autocrats,7,Huntington Beach Harriers,24
James,Polk,29,7,1,0,36,2010-04-07,Augusta Autocrats,8,Mobile Misfits,16
James,Polk,18,5,1,0,32,2010-04-14,Augusta Autocrats,14,Boise Bearcats,6
Quinn,Adams,8,5,0,1,69,2010-04-14,Augusta Autocrats,14,Boise Bearcats,6
James,Polk,32,11,1,1,64,2010-04-21,Augusta Autocrats,17,Modesto Misanthropes,0
Quinn,Adams,1,0,0,0,0,2010-04-21,Augusta Autocrats,17,Modesto Misanthropes,0
James,Polk,27,6,1,0,34,2010-04-28,Augusta Autocrats,13,Fremont Firebugs,0
Quinn,Adams,11,7,0,1,108,2010-04-28,Augusta Autocrats,13,Fremont Firebugs,0
James,Polk,29,11,1,0,60,2010-05-05,Augusta Autocrats,26,Montgomery Music,41
Quinn,Adams,7,5,0,2,95,2010-05-05,Augusta Autocrats,26,Montgomery Music,41
James,Polk,24,10,1,1,54,2010-05-12,Augusta Autocrats,12,Spokane Stallions,23
James,Polk,26,7,1,0,38,2010-05-19,Augusta Autocrats,2,Richmond Roustabouts,31
James,Polk,19,8,1,0,47,2010-05-26,Augusta Autocrats,12,Yonkers Yellowjackets,6
Quinn,Adams,5,4,0,0,71,2010-05-26,Augusta Autocrats,12,Yonkers Yellowjackets,6
James,Polk,38,15,1,1,72,2010-06-02,Augusta Autocrats,11,Shreveport Seamen,23
James,Polk,36,9,1,1,45,2010-06-09,Augusta Autocrats,19,San Bernardino Stalkers,17
James,Polk,24,5,1,0,26,2010-06-16,Augusta Autocrats,20,Tacoma Touchdown-Scorers,20
Quinn,Adams,7,5,0,2,81,2010-06-16,Augusta Autocrats,20,Tacoma Touchdown-Scorers,20
